id,agencia,CATEGORÍA CENSO 1,CANTIDAD DE SCHOPERAS CCU,CANTIDAD DE SALIDAS,CANTIDAD DE SHOPERAS COMPETENCIA ,CCU/ABINBEV/OTRAS MARCAS COMPETENCIA
588190,PK,LOCALES EN REGLA,2,1,0,CRISTAL ( de CCU)KUNTSMANN ( de CCU)
1351654,PK,LOCALES EN REGLA,3,4,0,KUNTSMANN ( de CCU)AUSTRAL ( de CCU)DOLBEK ( de CCU)ROYAL GUARD  ( de CCU)
2037514,PK,LOCALES EN REGLA,3,4,0,KUNTSMANN ( de CCU)AUSTRAL ( de CCU)DOLBEK ( de CCU)ROYAL GUARD  ( de CCU)
2273372,CORPA,LOCALES EN REGLA,1,2,1,AUSTRALHEINEKENBUDWEISERSTELLA ARTOIS
2331804,CORPA,LOCALES EN REGLA,1,2,1,AUSTRALHEINEKENBUDWEISERSTELLA ARTOIS
727560,PK,NO REPORTADO COMO IMPLEMENTADO,3,1,1,HEINEKEN ( de CCU)AUSTRAL ( de CCU)KUNTSMANN ( de CCU)ROYAL GUARD  ( de CCU)KUNTSMANN ( de CCU)
#N/A,SIN CENSO,LOCALES EN REGLA,,,,
1385001,CORPA,LOCALES EN REGLA,,,,BUDWEISERSTELLA ARTOIS
2304097,CORPA,LOCALES EN REGLA,,,,BUDWEISERSTELLA ARTOIS
2215729,CORPA,LOCALES EN REGLA,,,,BUDWEISERSTELLA ARTOIS
2214382,CORPA,CCU/Cuestionados,,,,AUSTRALROYAL GUARD
2009905,CORPA,LOCALES EN REGLA,1,3,1,BUDWEISERSTELLA ARTOIS
760441,CORPA,LOCALES EN REGLA,1,3,1,BUDWEISERSTELLA ARTOIS
2015847,PK,IMPLEMENTADO,1,6,0,AUSTRAL ( de CCU)DOLBEK ( de CCU)KUNTSMANN ( de CCU)ROYAL GUARD  ( de CCU)
2282191,CORPA,LOCALES EN REGLA,1,3,0,
2013367,CORPA,LOCALES EN REGLA,1,3,0,
781409,PK,LOCALES EN REGLA,2,2,0,CRISTAL ( de CCU)HEINEKEN ( de CCU)
#N/A,SIN CENSO,LOCALES EN REGLA,,,,
#N/A,SIN CENSO,LOCALES EN REGLA,,,,
568762,PK,LOCALES EN REGLA,0,0,0,
1733391,PK,LOCALES EN REGLA,1,2,0,AUSTRAL ( de CCU)KUNTSMANN ( de CCU)
2216694,PK,LOCALES EN REGLA,1,2,0,AUSTRAL ( de CCU)KUNTSMANN ( de CCU)
1991170,PK,LOCALES EN REGLA,1,2,0,KUNTSMANN ( de CCU)PATAGONIA ( de CCU)
,PK,LOCALES EN REGLA,1,2,0,KUNTSMANN ( de CCU)PATAGONIA ( de CCU)
1324271,CORPA,LOCALES EN REGLA,1,2,0,CRISTALROYAL GUARD
1935832,CORPA,LOCALES EN REGLA,1,2,0,CRISTALROYAL GUARD
2130021,PK,LOCALES EN REGLA,2,1,0,CRISTAL ( de CCU)KUNTSMANN ( de CCU)
534318,PK,LOCALES EN REGLA,2,1,0,CRISTAL ( de CCU)KUNTSMANN ( de CCU)
1375663,PK,LOCALES EN REGLA,1,3,0,AUSTRAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)
