id,agencia,CATEGORÍA CENSO 1,CANTIDAD DE SCHOPERAS CCU,CANTIDAD DE SALIDAS,CANTIDAD DE SHOPERAS COMPETENCIA ,CCU/ABINBEV/OTRAS MARCAS COMPETENCIA
1627402,PK,CCU/Cuestionados,0,0,0,
2120874,PK,CUESTIONADOS,1,4,0,AUSTRAL ( de CCU)DOLBEK ( de CCU)KUNTSMANN ( de CCU)ROYAL GUARD  ( de CCU)
2289928,CORPA,CCU/Cuestionados,,,,CRISTALROYAL GUARD
1520800,CORPA,CCU/Cuestionados,,,,AUSTRALROYAL GUARD
2117219,CORPA,IMPLEMENTADO,1,4,0,AUSTRALROYAL GUARD
1677555,PK,IMPLEMENTADO,1,4,0,AUSTRAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)
686448,PK,IMPLEMENTADO,2,2,0,AUSTRAL ( de CCU)KUNTSMANN ( de CCU)CRISTAL ( de CCU)DOLBEK ( de CCU)
537819,PK,IMPLEMENTADO,3,3,0,DOLBEK ( de CCU)KUNTSMANN ( de CCU)AUSTRAL ( de CCU)HEINEKEN ( de CCU)
687701,CORPA,IMPLEMENTADO,1,4,0,BUDWEISERSTELLA ARTOIS
2317417,PK,IMPLEMENTADO,2,4,0,AUSTRAL ( de CCU)CRISTAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)AUSTRAL ( de CCU)KUNTSMANN ( de CCU)ROYAL GUARD  ( de CCU)
713099,PK,IMPLEMENTADO,2,2,0,AUSTRAL ( de CCU)CRISTAL ( de CCU)KUNTSMANN ( de CCU)ROYAL GUARD  ( de CCU)
677809,PK,IMPLEMENTADO,2,2,0,CRISTAL ( de CCU)ROYAL GUARD  ( de CCU)AUSTRAL ( de CCU)KUNTSMANN ( de CCU)
1394872,PK,CCU/Cuestionados,1,26,0,AUSTRAL ( de CCU)KUNTSMANN ( de CCU)ROYAL GUARD  ( de CCU)MALTA DEL SUR (de ABINBEV)
2333696,CORPA,NO REPORTADO COMO IMPLEMENTADO,1,4,0,AUSTRALROYAL GUARD
677298,CORPA,IMPLEMENTADO,1,3,0,
673456,PK,CCU/Cuestionados,1,3,0,HEINEKEN ( de CCU)KUNTSMANN ( de CCU)
2153304,CORPA,NO REPORTADO COMO IMPLEMENTADO,2,3,0,AUSTRAL
691247,CORPA,IMPLEMENTADO,1,4,0,BUDWEISERSTELLA ARTOIS
2232508,CORPA,CCU/Cuestionados,1,6,0,AUSTRAL
1571755,CORPA,CUESTIONADOS,2,3,0,AUSTRALROYAL GUARD
2278743,PK,CCU/Cuestionados,0,0,0,
2127284,CORPA,IMPLEMENTADO,1,4,0,AUSTRAL
696889,PK,CCU/Cuestionados,0,0,0,
2247175,CORPA,IMPLEMENTADO,2,2,0,AUSTRAL
2350275,CORPA,CUESTIONADOS,2,4,0,AUSTRALHEINEKENBUDWEISERSTELLA ARTOIS
15999257,PK,CCU/Cuestionados,2,1,0,KUNTSMANN ( de CCU)HEINEKEN ( de CCU)
680730,PK,CCU/Cuestionados,2,1,0,KUNTSMANN ( de CCU)HEINEKEN ( de CCU)
509020,CORPA,CCU/Cuestionados,1,6,0,KUNTSMANNPATAGONIAAUSTRALCRISTALROYAL GUARD
509021,CORPA,IMPLEMENTADO,1,4,0,KUNTSMANNPATAGONIAAUSTRALCRISTALROYAL GUARD
677514,CORPA,CCU/Cuestionados,1,6,0,
1478559,PK,IMPLEMENTADO,1,4,0,AUSTRAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)ROYAL GUARD  ( de CCU)
545048,PK,IMPLEMENTADO,1,4,0,AUSTRAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)ROYAL GUARD  ( de CCU)
680707,CORPA,IMPLEMENTADO,2,3,0,KUNTSMANNPATAGONIAAUSTRALCRISTALROYAL GUARD
878769,CORPA,IMPLEMENTADO,1,4,0,CRISTALROYAL GUARD
531614,CORPA,IMPLEMENTADO,2,3,0,CRISTALROYAL GUARD
720872,PK,IMPLEMENTADO,1,4,0,AUSTRAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)ROYAL GUARD  ( de CCU)
897548,PK,CCU/Cuestionados,0,0,0,
857112,PK,IMPLEMENTADO,1,4,0,AUSTRAL ( de CCU)
993115,CORPA,CCU/Cuestionados,,,,KUNTSMANNPATAGONIAAUSTRALCRISTALROYAL GUARD
1326803,PK,CCU/Cuestionados,0,0,0,
1535522,PK,NO REPORTADO COMO IMPLEMENTADO,1,4,0,AUSTRAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)
1747331,CORPA,NO REPORTADO COMO IMPLEMENTADO,1,8,0,AUSTRALROYAL GUARD
689212,PK,IMPLEMENTADO,2,4,0,AUSTRAL ( de CCU)AUSTRAL ( de CCU)KUNTSMANN ( de CCU)
1460058,CORPA,IMPLEMENTADO,2,2,0,
2044842,PK,IMPLEMENTADO,2,3,0,AUSTRAL ( de CCU)CRISTAL ( de CCU)KUNTSMANN ( de CCU)ROYAL GUARD  ( de CCU)
678626,CORPA,IMPLEMENTADO,1,4,0,KUNTSMANNPATAGONIAAUSTRALCRISTALROYAL GUARD
2030088,CORPA,IMPLEMENTADO,2,2,0,AUSTRALROYAL GUARD
1600141,CORPA,IMPLEMENTADO,1,4,0,AUSTRALROYAL GUARD
680709,PK,CCU/Cuestionados,2,2,0,AUSTRAL ( de CCU)ESCUDO ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)ROYAL GUARD  ( de CCU)
1465237,PK,CCU/Cuestionados,0,0,0,
2278254,PK,IMPLEMENTADO,1,6,0,AUSTRAL ( de CCU)CRISTAL ( de CCU)DOLBEK ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)ROYAL GUARD  ( de CCU)
1701536,PK,IMPLEMENTADO,2,2,0,AUSTRAL ( de CCU)KUNTSMANN ( de CCU)
2341116,PK,CCU/Cuestionados,0,0,0,
1495871,PK,IMPLEMENTADO,2,3,0,CRISTAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)AUSTRAL ( de CCU)
1657504,CORPA,IMPLEMENTADO,1,4,0,
849248,PK,CUESTIONADOS,1,5,0,AUSTRAL ( de CCU)CRISTAL ( de CCU)DOLBEK ( de CCU)GUAYACAN ( de CCU)HEINEKEN ( de CCU)
1926231,CORPA,CCU/Cuestionados,,,,BUDWEISERSTELLA ARTOIS
888649,SIN CENSO,NO CENSADO,,,,
2111258,CORPA,IMPLEMENTADO,3,2,0,
1993549,PK,CCU/Cuestionados,2,3,0,AUSTRAL ( de CCU)HEINEKEN ( de CCU)AUSTRAL ( de CCU)PATAGONIA ( de CCU)
878207,PK,CUESTIONADOS,1,4,0,AUSTRAL ( de CCU)CRISTAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)
2088353,CORPA,IMPLEMENTADO,1,4,0,CRISTALROYAL GUARD
678593,PK,IMPLEMENTADO,2,4,0,AUSTRAL ( de CCU)ESCUDO ( de CCU)ROYAL GUARD  ( de CCU)AUSTRAL ( de CCU)ROYAL GUARD  ( de CCU)
1915686,PK,IMPLEMENTADO,6,2,0,AUSTRAL ( de CCU)ROYAL GUARD  ( de CCU)ESCUDO ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)
862131,CORPA,IMPLEMENTADO,1,4,0,BUDWEISERSTELLA ARTOIS
2237011,CORPA,IMPLEMENTADO,2,4,1,AUSTRALHEINEKENBUDWEISERSTELLA ARTOIS
2332423,PK,IMPLEMENTADO,1,4,0,AUSTRAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)
743342,CORPA,CCU/Cuestionados,,,,CRISTALROYAL GUARD
709398,PK,IMPLEMENTADO,2,2,0,KUNTSMANN ( de CCU)CRISTAL ( de CCU)ESCUDO ( de CCU)HEINEKEN ( de CCU)
504209,CORPA,CCU/Cuestionados,,,,KUNTSMANNPATAGONIAAUSTRALCRISTALROYAL GUARD
2102251,CORPA,IMPLEMENTADO,1,4,0,AUSTRALROYAL GUARD
1943967,PK,CCU/Cuestionados,2,3,0,AUSTRAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)AUSTRAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)
730074,PK,IMPLEMENTADO,1,4,0,AUSTRAL ( de CCU)KUNTSMANN ( de CCU)ROYAL GUARD  ( de CCU)
521443,CORPA,IMPLEMENTADO,2,4,0,CRISTALROYAL GUARD
1321725,PK,CUESTIONADOS,2,1,0,ROYAL GUARD  ( de CCU)AUSTRAL ( de CCU)KUNTSMANN ( de CCU)
669344,CORPA,IMPLEMENTADO,2,3,0,CRISTALROYAL GUARD
1339794,PK,CUESTIONADOS,1,4,0,AUSTRAL ( de CCU)PATAGONIA ( de CCU)
1737744,PK,CCU/Cuestionados,0,0,0,
605200,CORPA,IMPLEMENTADO,2,4,0,BUDWEISERSTELLA ARTOIS
1338556,CORPA,CCU/Cuestionados,1,4,0,BUDWEISERSTELLA ARTOIS
1346114,CORPA,CCU/Cuestionados,1,4,0,BUDWEISERSTELLA ARTOIS
2103756,CORPA,IMPLEMENTADO,2,4,0,AUSTRAL
530992,CORPA,CCU/Cuestionados,1,2,0,CRISTALROYAL GUARD
1549920,CORPA,IMPLEMENTADO,1,4,0,
2342388,PK,IMPLEMENTADO,4,3,0,AUSTRAL ( de CCU)ESCUDO ( de CCU)HEINEKEN ( de CCU)ROYAL GUARD  ( de CCU)KUNTSMANN ( de CCU)CRISTAL ( de CCU)
2342533,CORPA,IMPLEMENTADO,2,2,0,
676189,PK,IMPLEMENTADO,2,3,0,AUSTRAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)HEINEKEN ( de CCU)
2286236,CORPA,NO REPORTADO COMO IMPLEMENTADO,3,3,0,CRISTALROYAL GUARD
542284,PK,IMPLEMENTADO,2,2,0,CRISTAL ( de CCU)HEINEKEN ( de CCU)AUSTRAL ( de CCU)KUNTSMANN ( de CCU)
529272,CORPA,IMPLEMENTADO,3,2,0,KUNTSMANNPATAGONIAAUSTRALCRISTALROYAL GUARD
1307068,CORPA,IMPLEMENTADO,1,4,0,BUDWEISERSTELLA ARTOIS
1643773,CORPA,IMPLEMENTADO,1,4,0,
766774,CORPA,IMPLEMENTADO,2,3,0,BUDWEISERSTELLA ARTOIS
599106,PK,IMPLEMENTADO,2,3,0,AUSTRAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)HEINEKEN ( de CCU)
1722907,PK,CCU/Cuestionados,0,0,0,
2202167,CORPA,IMPLEMENTADO,2,3,0,AUSTRAL
1986917,PK,CCU/Cuestionados,1,4,0,
1394050,CORPA,IMPLEMENTADO,1,4,0,BUDWEISERSTELLA ARTOIS
1436534,CORPA,CCU/Cuestionados,,,,BUDWEISERSTELLA ARTOIS
2270747,PK,CCU/Cuestionados,1,3,0,AUSTRAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)
1383519,CORPA,CCU/Cuestionados,2,3,1,
574184,PK,CUESTIONADOS,1,4,1,AUSTRAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)ROYAL GUARD  ( de CCU)
2236636,CORPA,IMPLEMENTADO,2,3,0,AUSTRALHEINEKENBUDWEISERSTELLA ARTOIS
720076,CORPA,CCU/Cuestionados,2,1,0,BUDWEISERSTELLA ARTOIS
933122,CORPA,CCU/Cuestionados,1,2,0,BUDWEISERSTELLA ARTOIS
980035,CORPA,CCU/Cuestionados,,,,
2202834,CORPA,CCU/Cuestionados,,,,AUSTRALROYAL GUARD
2117631,PK,CUESTIONADOS,1,4,0,AUSTRAL ( de CCU)KUNTSMANN ( de CCU)PATAGONIA ( de CCU)ROYAL GUARD  ( de CCU)
2321426,CORPA,IMPLEMENTADO,2,3,0,AUSTRALROYAL GUARD
1418636,PK,IMPLEMENTADO,4,6,0,AUSTRAL ( de CCU)CRISTAL ( de CCU)CRISTAL ( de CCU)GUAYACAN ( de CCU)KUNTSMANN ( de CCU)AUSTRAL ( de CCU)CRISTAL ( de CCU)KUNTSMANN ( de CCU)AUSTRAL ( de CCU)CRISTAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)
1580601,PK,IMPLEMENTADO,1,4,0,AUSTRAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)
2092605,PK,CCU/Cuestionados,0,0,0,
2148430,PK,CCU/Cuestionados,0,0,0,
1441761,PK,IMPLEMENTADO,2,2,0,KUNTSMANN ( de CCU)ROYAL GUARD  ( de CCU)AUSTRAL ( de CCU)ESCUDO ( de CCU)
525270,CORPA,IMPLEMENTADO,1,4,0,AUSTRALHEINEKENBUDWEISERSTELLA ARTOIS
693777,CORPA,IMPLEMENTADO,2,4,0,KUNTSMANNAUSTRALHEINEKEN
1956423,,,,,,
2306205,CORPA,NO REPORTADO COMO IMPLEMENTADO,1,4,0,AUSTRALROYAL GUARD
1456789,PK,IMPLEMENTADO,1,4,0,AUSTRAL ( de CCU)KUNTSMANN ( de CCU)ROYAL GUARD  ( de CCU)
794600,CORPA,CCU/Cuestionados,1,3,0,BUDWEISERSTELLA ARTOIS
748833,PK,CCU/Cuestionados,2,1,0,CRISTAL ( de CCU)ESCUDO ( de CCU)KUNTSMANN ( de CCU)
674847,PK,CCU/Cuestionados,3,3,0,AUSTRAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)AUSTRAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)AUSTRAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)
2341310,PK,IMPLEMENTADO,2,5,0,CRISTAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)ESCUDO ( de CCU)
573907,PK,CUESTIONADOS,1,6,1,AUSTRAL ( de CCU)DOLBEK ( de CCU)KUNTSMANN ( de CCU)
2286317,PK,IMPLEMENTADO,1,4,0,AUSTRAL ( de CCU)CRISTAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)
1988357,CORPA,IMPLEMENTADO,3,2,0,AUSTRALROYAL GUARD
2031809,CORPA,IMPLEMENTADO,2,2,0,AUSTRALROYAL GUARD
2092231,PK,CUESTIONADOS,3,6,0,AUSTRAL ( de CCU)DOLBEK ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)ROYAL GUARD  ( de CCU)AUSTRAL ( de CCU)DOLBEK ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)AUSTRAL ( de CCU)DOLBEK ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)
613406,CORPA,IMPLEMENTADO,2,6,0,BUDWEISERSTELLA ARTOIS
1487475,PK,CUESTIONADOS,1,2,1,AUSTRAL ( de CCU)DOLBEK ( de CCU)AUSTRAL ( de CCU)DOLBEK ( de CCU)
2012490,PK,CCU/Cuestionados,0,0,0,
1747309,CORPA,IMPLEMENTADO,2,3,0,AUSTRALROYAL GUARD
2241890,PK,CCU/Cuestionados,0,0,0,
677863,PK,IMPLEMENTADO,1,4,0,AUSTRAL ( de CCU)CRISTAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)
1603437,CORPA,IMPLEMENTADO,2,3,0,AUSTRALROYAL GUARD
1419468,PK,IMPLEMENTADO,1,4,0,AUSTRAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)
694777,CORPA,CCU/Cuestionados,1,3,0,BUDWEISERSTELLA ARTOIS
892250,CORPA,CCU/Cuestionados,2,2,0,
1545381,CORPA,IMPLEMENTADO,1,4,0,AUSTRALROYAL GUARD
543976,PK,IMPLEMENTADO,3,2,0,CRISTAL ( de CCU)ROYAL GUARD  ( de CCU)CRISTAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)AUSTRAL ( de CCU)
975569,PK,CCU/Cuestionados,0,0,0,
1938141,CORPA,IMPLEMENTADO,1,4,0,AUSTRALROYAL GUARD
532445,CORPA,IMPLEMENTADO,1,12,0,KUNTSMANNPATAGONIAAUSTRALCRISTALROYAL GUARD
2268707,PK,CUESTIONADOS,2,2,0,CRISTAL ( de CCU)AUSTRAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)
723409,PK,IMPLEMENTADO,1,6,0,AUSTRAL ( de CCU)CRISTAL ( de CCU)DOLBEK ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)PATAGONIA ( de CCU)
2330247,PK,CCU/Cuestionados,0,0,0,
504836,CORPA,IMPLEMENTADO,3,1,0,KUNTSMANNPATAGONIAAUSTRALCRISTALROYAL GUARD
525132,CORPA,CCU/Cuestionados,1,3,1,AUSTRALROYAL GUARD
1338922,CORPA,NO REPORTADO COMO IMPLEMENTADO,1,4,0,BUDWEISERSTELLA ARTOIS
1739183,PK,IMPLEMENTADO,1,4,0,AUSTRAL ( de CCU)CRISTAL ( de CCU)KUNTSMANN ( de CCU)
928025,PK,CUESTIONADOS,1,4,0,AUSTRAL ( de CCU)KUNTSMANN ( de CCU)
1348224,CORPA,CCU/Cuestionados,3,3,0,
2276765,PK,CCU/Cuestionados,0,0,0,
771815,SIN CENSO,NO CENSADO,,,,
584497,PK,IMPLEMENTADO,1,12,0,AUSTRAL ( de CCU)CRISTAL ( de CCU)DOLBEK ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)ROYAL GUARD  ( de CCU)
901200,PK,CCU/Cuestionados,0,0,0,
845907,PK,IMPLEMENTADO,1,8,0,AUSTRAL ( de CCU)CRISTAL ( de CCU)DOLBEK ( de CCU)ESCUDO ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)ROYAL GUARD  ( de CCU)
584318,PK,CUESTIONADOS,2,1,0,AUSTRAL ( de CCU)DOLBEK ( de CCU)KUNTSMANN ( de CCU)CRISTAL ( de CCU)ESCUDO ( de CCU)HEINEKEN ( de CCU)
565403,PK,IMPLEMENTADO,1,4,0,AUSTRAL ( de CCU)GUAYACAN ( de CCU)HEINEKEN ( de CCU)ROYAL GUARD  ( de CCU)
590182,PK,IMPLEMENTADO,2,3,0,AUSTRAL ( de CCU)CRISTAL ( de CCU)KUNTSMANN ( de CCU)AUSTRAL ( de CCU)CRISTAL ( de CCU)
532340,CORPA,CCU/Cuestionados,2,2,0,AUSTRAL
723765,PK,CCU/Cuestionados,0,0,0,
860727,CORPA,CCU/Cuestionados,1,4,1,BUDWEISERSTELLA ARTOIS
801348,CORPA,CCU/Cuestionados,1,4,0,BUDWEISERSTELLA ARTOIS
915685,CORPA,IMPLEMENTADO,2,2,0,
767636,CORPA,IMPLEMENTADO,2,3,0,BUDWEISERSTELLA ARTOIS
502093,CORPA,IMPLEMENTADO,1,4,0,CRISTALROYAL GUARD
1718782,PK,IMPLEMENTADO,2,1,0,ROYAL GUARD  ( de CCU)AUSTRAL ( de CCU)KUNTSMANN ( de CCU)
2192851,PK,IMPLEMENTADO,2,5,0,AUSTRAL ( de CCU)DOLBEK ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)ROYAL GUARD  ( de CCU)AUSTRAL ( de CCU)KUNTSMANN ( de CCU)
1652694,SIN CENSO,NO CENSADO,,,,
2286935,CORPA,NO REPORTADO COMO IMPLEMENTADO,2,2,0,AUSTRALROYAL GUARD
1674772,PK,IMPLEMENTADO,2,1,0,CRISTAL ( de CCU)KUNTSMANN ( de CCU)
700341,PK,IMPLEMENTADO,2,2,0,ESCUDO ( de CCU)ROYAL GUARD  ( de CCU)CRISTAL ( de CCU)KUNTSMANN ( de CCU)
2333871,CORPA,CCU/Cuestionados,,,,HEINEKEN
877498,PK,IMPLEMENTADO,2,2,0,AUSTRAL ( de CCU)CRISTAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)
2136036,PK,IMPLEMENTADO,3,1,0,AUSTRAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)ROYAL GUARD  ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)ROYAL GUARD  ( de CCU)AUSTRAL ( de CCU)
757091,PK,CUESTIONADOS,1,8,0,AUSTRAL ( de CCU)GUAYACAN ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)ROYAL GUARD  ( de CCU)
2183296,CORPA,NO REPORTADO COMO IMPLEMENTADO,3,3,0,
2186002,PK,CCU/Cuestionados,0,0,0,
792326,PK,CUESTIONADOS,1,4,0,AUSTRAL ( de CCU)KUNTSMANN ( de CCU)
2334327,PK,CCU/Cuestionados,1,2,0,ESCUDO ( de CCU)KUNTSMANN ( de CCU)
2033925,PK,CCU/Cuestionados,0,0,0,
1510845,PK,CUESTIONADOS,1,4,0,AUSTRAL ( de CCU)
2195616,CORPA,IMPLEMENTADO,1,4,0,
1576175,CORPA,CCU/Cuestionados,,,,AUSTRALROYAL GUARD
1761198,CORPA,IMPLEMENTADO,2,4,0,AUSTRALROYAL GUARD
2262220,PK,CCU/Cuestionados,0,0,0,
1327716,CORPA,NO REPORTADO COMO IMPLEMENTADO,1,4,0,
1357082,PK,IMPLEMENTADO,1,4,0,CRISTAL ( de CCU)KUNTSMANN ( de CCU)
2051704,CORPA,IMPLEMENTADO,1,8,0,AUSTRALROYAL GUARD
675452,CORPA,IMPLEMENTADO,1,4,0,BUDWEISERSTELLA ARTOIS
2320602,PK,CCU/Cuestionados,0,0,0,
1621173,PK,IMPLEMENTADO,1,4,0,AUSTRAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)PATAGONIA ( de CCU)
1672132,CORPA,IMPLEMENTADO,1,4,0,AUSTRALROYAL GUARD
2128945,PK,CUESTIONADOS,1,5,0,AUSTRAL ( de CCU)DOLBEK ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)PATAGONIA ( de CCU)
613693,CORPA,CCU/Cuestionados,1,3,0,BUDWEISERSTELLA ARTOIS
2261148,PK,IMPLEMENTADO,2,3,0,AUSTRAL ( de CCU)HEINEKEN ( de CCU)ROYAL GUARD  ( de CCU)ESCUDO ( de CCU)
2206704,CORPA,IMPLEMENTADO,3,2,0,AUSTRALROYAL GUARD
2315353,CORPA,IMPLEMENTADO,1,4,0,
2201642,PK,CCU/Cuestionados,2,2,1,CRISTAL ( de CCU)ROYAL GUARD  ( de CCU)KUNTSMANN ( de CCU)BECKER  (de ABINBEV)BUDWEISER  (de ABINBEV)
1461886,PK,IMPLEMENTADO,4,2,0,AUSTRAL ( de CCU)KUNTSMANN ( de CCU)ROYAL GUARD  ( de CCU)CRISTAL ( de CCU)
2325466,PK,CCU/Cuestionados,0,0,0,
1346042,PK,CCU/Cuestionados,1,2,0,ESCUDO ( de CCU)KUNTSMANN ( de CCU)
613727,CORPA,IMPLEMENTADO,1,6,0,BUDWEISERSTELLA ARTOIS
672761,CORPA,IMPLEMENTADO,3,2,0,CRISTALROYAL GUARD
678804,PK,CCU/Cuestionados,0,0,0,
2111391,PK,CUESTIONADOS,1,4,0,AUSTRAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)ROYAL GUARD  ( de CCU)
1751145,PK,IMPLEMENTADO,2,3,0,CRISTAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)AUSTRAL ( de CCU)CRISTAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)
1436400,CORPA,CCU/Cuestionados,,,,
926450,PK,IMPLEMENTADO,0,0,0,
1599648,PK,IMPLEMENTADO,2,2,0,HEINEKEN ( de CCU)KUNTSMANN ( de CCU)AUSTRAL ( de CCU)KUNTSMANN ( de CCU)
2299598,SIN CENSO,NO CENSADO,,,,
544983,SIN CENSO,NO CENSADO,,,,
532616,,,,,,
574168,,,,,,
2340221,PK,CCU/Cuestionados,1,5,1,AUSTRAL ( de CCU)DOLBEK ( de CCU)ESCUDO ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)BUDWEISER  (de ABINBEV)CUSQUENA (de ABINBEV)STELLA ARTOIS (de ABINBEV)
679513,CORPA,IMPLEMENTADO,2,2,0,KUNTSMANNPATAGONIAAUSTRALCRISTALROYAL GUARD
1359592,PK,CCU/Cuestionados,1,2,0,CRISTAL ( de CCU)
2235158,PK,IMPLEMENTADO,1,5,0,AUSTRAL ( de CCU)CRISTAL ( de CCU)KUNTSMANN ( de CCU)ROYAL GUARD  ( de CCU)
2145326,CORPA,IMPLEMENTADO,2,3,0,AUSTRALROYAL GUARD
2228224,PK,IMPLEMENTADO,3,2,0,KUNTSMANN ( de CCU)CRISTAL ( de CCU)HEINEKEN ( de CCU)
2142024,CORPA,IMPLEMENTADO,2,2,0,AUSTRALROYAL GUARD
573886,PK,IMPLEMENTADO,1,4,0,AUSTRAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)
2346006,CORPA,IMPLEMENTADO,2,4,0,AUSTRAL
2347367,CORPA,CCU/Cuestionados,,,,
2012455,PK,IMPLEMENTADO,1,4,0,AUSTRAL ( de CCU)CRISTAL ( de CCU)KUNTSMANN ( de CCU)ROYAL GUARD  ( de CCU)
1599275,PK,CUESTIONADOS,1,4,0,AUSTRAL ( de CCU)KUNTSMANN ( de CCU)PATAGONIA ( de CCU)ROYAL GUARD  ( de CCU)
926965,PK,IMPLEMENTADO,0,0,0,
1647506,PK,IMPLEMENTADO,0,0,0,
2197653,CORPA,IMPLEMENTADO,1,4,0,AUSTRAL
1465215,CORPA,CUESTIONADOS,2,4,0,
2106887,CORPA,IMPLEMENTADO,2,4,0,AUSTRALROYAL GUARD
2227852,CORPA,IMPLEMENTADO,3,2,0,AUSTRAL
614569,CORPA,CCU/Cuestionados,1,2,0,KUNTSMANNPATAGONIAAUSTRALCRISTALROYAL GUARD
565857,PK,IMPLEMENTADO,3,1,0,HEINEKEN ( de CCU)AUSTRAL ( de CCU)HEINEKEN ( de CCU)
765697,PK,CUESTIONADOS,2,4,0,CRISTAL ( de CCU)CRISTAL ( de CCU)
2248942,PK,IMPLEMENTADO,2,4,0,HEINEKEN ( de CCU)KUNTSMANN ( de CCU)ROYAL GUARD  ( de CCU)AUSTRAL ( de CCU)DOLBEK ( de CCU)KUNTSMANN ( de CCU)
2304968,PK,CCU/Cuestionados,1,3,0,AUSTRAL ( de CCU)CRISTAL ( de CCU)KUNTSMANN ( de CCU)
2298811,CORPA,IMPLEMENTADO,1,4,0,HEINEKEN
853498,PK,CUESTIONADOS,2,1,0,AUSTRAL ( de CCU)CRISTAL ( de CCU)HEINEKEN ( de CCU)HEINEKEN ( de CCU)
563995,PK,CCU/Cuestionados,1,3,0,AUSTRAL ( de CCU)KUNTSMANN ( de CCU)ROYAL GUARD  ( de CCU)
680031,PK,CUESTIONADOS,4,3,0,AUSTRAL ( de CCU)KUNTSMANN ( de CCU)ROYAL GUARD  ( de CCU)KUNTSMANN ( de CCU)AUSTRAL ( de CCU)ROYAL GUARD  ( de CCU)AUSTRAL ( de CCU)ROYAL GUARD  ( de CCU)
1660544,PK,IMPLEMENTADO,2,2,0,CRISTAL ( de CCU)HEINEKEN ( de CCU)AUSTRAL ( de CCU)KUNTSMANN ( de CCU)
2332424,PK,CCU/Cuestionados,1,4,0,AUSTRAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)
2095646,PK,CCU/Cuestionados,1,4,0,AUSTRAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)
679556,PK,IMPLEMENTADO,1,4,0,ESCUDO ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)
2299568,PK,CCU/Cuestionados,0,0,0,
